year,title,authors,venue,type,cited_by_count,doi,openalex_id
2012,The development of selected reaction monitoring methods for targeted proteomics via empirical refinement,Michael S. Bereman; Brendan MacLean; Daniela M. Tomazela; D.C. Liebler; Michael J. MacCoss,PROTEOMICS,article,118,10.1002/pmic.201200042,https://openalex.org/W2045695999
2012,Label-Free Quantitation of Protein Modifications by Pseudo Selected Reaction Monitoring with Internal Reference Peptides,Stacy D. Sherrod; Matthew V. Myers; Ming Li; Jeremy S. Myers; Kristin L. Carpenter; Brendan MacLean; Michael J. MacCoss; D.C. Liebler; Amy‐Joan L. Ham,Journal of Proteome Research,article,70,10.1021/pr201240a,https://openalex.org/W2083847379
2012,Multiplexed Data Independent Acquisition for Comparative Proteomics,Jarrett D. Egertson; Andreas Kuehn; Gennifer E. Merrihew; Nicholas W. Bateman; Brendan MacLean; Ying S. Ting; Jesse D. Canterbury; Markus Kellmann; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss,,article,1,,https://openalex.org/W2185380640
2011,Rapid empirical discovery of optimal peptides for targeted proteomics,Andrew B. Stergachis; Brendan MacLean; Kristen Lee; J Stamatoyannopoulos; Michael J. MacCoss,Nature Methods,article,112,10.1038/nmeth.1770,https://openalex.org/W1984236407
2010,Skyline: an open source document editor for creating and analyzing targeted proteomics experiments,Brendan MacLean; Daniela M. Tomazela; Nicholas Shulman; Matthew Chambers; Gregory L. Finney; Barbara Frewen; Randall Kern; David L. Tabb; D.C. Liebler; Michael J. MacCoss,Bioinformatics,article,4995,10.1093/bioinformatics/btq054,https://openalex.org/W2141091417
2010,Effect of Collision Energy Optimization on the Measurement of Peptides by Selected Reaction Monitoring (SRM) Mass Spectrometry,Brendan MacLean; Daniela M. Tomazela; Susan E. Abbatiello; Shucha Zhang; Jeffrey R. Whiteaker; Amanda G. Paulovich; Steven A. Carr; Michael J. MacCoss,Analytical Chemistry,article,239,10.1021/ac102179j,https://openalex.org/W2078266248
2009,Expediting the Development of Targeted SRM Assays: Using Data from Shotgun Proteomics to Automate Method Development,Amol Prakash; Daniela M. Tomazela; Barbara Frewen; Brendan MacLean; Gennifer E. Merrihew; Scott Peterman; Michael J. MacCoss,Journal of Proteome Research,article,149,10.1021/pr801028b,https://openalex.org/W2126869418
2009,Comparison of Database Search Strategies for High Precursor Mass Accuracy MS/MS Data,Edward J. Hsieh; Michael R. Hoopmann; Brendan MacLean; Michael J. MacCoss,Journal of Proteome Research,article,127,10.1021/pr900816a,https://openalex.org/W2016019423
2008,Precursor-Ion Mass Re-Estimation Improves Peptide Identification on Hybrid Instruments,Roland Luethy; Darren Kessner; Jonathan E. Katz; Brendan MacLean; Robert Grothe; Kian Kani; Vítor M. Faça; Sharon J. Pitteri; Samir Hanash; David B. Agus; Parag Mallick,Journal of Proteome Research,article,53,10.1021/pr800307m,https://openalex.org/W2094041121
2006,General framework for developing and evaluating database scoring algorithms using the TANDEM search engine,Brendan MacLean; Jimmy K. Eng; Ronald C. Beavis; Martin McIntosh,Bioinformatics,article,218,10.1093/bioinformatics/btl379,https://openalex.org/W2116063068
2006,"Computational Proteomics Analysis System (CPAS):  An Extensible, Open-Source Analytic System for Evaluating and Publishing Proteomic Data and High Throughput Biological Experiments <i>J. Proteome Res.</i> <b>2006</b>, <i>5</i>, 112−121.",Adam Rauch; Matthew Bellew; Jimmy K. Eng; Matthew Fitzgibbon; Ted Holzman; Peter S. Hussey; Mark Igra; Brendan MacLean; Chen Wei Lin; Andrea Detter; Ruihua Fang; Vítor M. Faça; Phil Gafken; Heidi Zhang; Jeffrey R. Whiteaker; David States; Samir Hanash; Amanda G. Paulovich; Martin McIntosh,Journal of Proteome Research,article,12,10.1021/pr0680007,https://openalex.org/W1980601273
2005,"Computational Proteomics Analysis System (CPAS):  An Extensible, Open-Source Analytic System for Evaluating and Publishing Proteomic Data and High Throughput Biological Experiments",Adam Rauch; Matthew Bellew; Jimmy K. Eng; Matthew Fitzgibbon; Ted Holzman; Peter S. Hussey; Mark Igra; Brendan MacLean; Chen Wei Lin; Andrea Detter; Ruihua Fang; Vítor M. Faça; Phil Gafken; Heidi Zhang; Jeffrey Whitaker; David States; Samir Hanash; Amanda G. Paulovich; Martin McIntosh,Journal of Proteome Research,article,215,10.1021/pr0503533,https://openalex.org/W1966621931
1996,Total protein determination in pigeon plasma and serum: comparison of refractometric methods with the biuret method,J. T. Lumeij; Brendan MacLean,Journal of Avian Medicine and Surgery,article,49,,https://openalex.org/W2382434149
1984,"Quality control report, 1981-82: nine months of operation.",Brendan MacLean,PubMed,article,0,,https://openalex.org/W2419452958
1975,Stratigraphic interpretation of the central Grand Banks from high-resolution seismic reflection profiles,Leslie King; Brendan MacLean,,report,4,10.4095/102515,https://openalex.org/W2909632565
